SERIAL NO,AIRLINE ,AIRLINE IATA CODE,FLIGHT NO,FLIGHT TYPE,ROUTE,DEPARTURE COUNTRY,DEPARTURE CITY,DEPARTURE AIRPORT,DEPARTURE IATA CODE,ARRIVAL COUNTRY,ARRIVAL CITY,ARRIVAL AIRPORT,ARRIVAL IATA CODE,FLIGHT DURATION,
1,AIRBLUE,PA,PA-201,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 58 MINUTES,
2,AIRBLUE,PA,PA-207,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 58 MINUTES,
3,AIRBLUE,PA,PA-200,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 58 MINUTES,
4,AIRBLUE,PA,PA-208,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 58 MINUTES,
5,AIRBLUE,PA,PA-402,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 58 MINUTES,
6,AIRBLUE,PA,PA-406,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 58 MINUTES,
7,AIRBLUE,PA,PA-401,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 58 MINUTES,
8,AIRBLUE,PA,PA-405,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 58 MINUTES,
9,AIRBLUE,PA,PA-702,DOMESTIC,ISB-KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,1 HOUR,
10,AIRBLUE,PA,PA-703,DOMESTIC,KDU-ISB,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR,
11,AIRBLUE,PA,PA-704,DOMESTIC,LHE-KDU,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,1 HOUR 30 MINUTES,
12,AIRBLUE,PA,PA-705,DOMESTIC,KDU-LHE,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 35 MINUTES,
13,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-301,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 55 MINUTES,
14,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-309,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 55 MINUTES,
15,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-319,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 55 MINUTES,
16,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-300,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 55 MINUTES,
17,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-308,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 55 MINUTES,
18,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-320,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 55 MINUTES,
19,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-325,DOMESTIC,ISB-UET,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,QUETTA,Quetta International Airport ,UET,1 HOUR 25 MINUTES,
20,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-326,DOMESTIC,UET-ISB,PAKISTAN,QUETTA,Quetta International Airport ,UET,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 25 MINUTES,
21,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-303,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 45 MINUTES,
22,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-305,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 45 MINUTES,
23,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-307,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 45 MINUTES,
24,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-302,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 45 MINUTES,
25,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-304,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 45 MINUTES,
26,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-306,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 45 MINUTES,
27,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-310,DOMESTIC,KHI-UET,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,QUETTA,Quetta International Airport ,UET,1 HOUR 20 MINUTES,
28,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-311,DOMESTIC,UET-KHI,PAKISTAN,QUETTA,Quetta International Airport ,UET,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 20 MINUTES,
29,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-330,DOMESTIC,KHI-MUX,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,MULTAN,Multan International Airport,MUX,1 HOUR 25 MINUTES,
30,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-331,DOMESTIC,MUX-KHI,PAKISTAN,MULTAN,Multan International Airport,MUX,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 25 MINUTES,
31,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-601,DOMESTIC,ISB-GIL,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,GILGIT,GILGIT AIRPORT,GIL,1 HOUR 15 MINUTES,
32,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-603,DOMESTIC,ISB-GIL,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,GILGIT,GILGIT AIRPORT,GIL,1 HOUR 15 MINUTES,
33,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-602,DOMESTIC,GIL-ISB,PAKISTAN,GILGIT,GILGIT AIRPORT,GIL,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 15 MINUTES,
34,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-604,DOMESTIC,GIL-ISB,PAKISTAN,GILGIT,GILGIT AIRPORT,GIL,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR 15 MINUTES,
35,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-451,DOMESTIC,ISB-KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,1 HOUR,
36,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-452,DOMESTIC,KDU-ISB,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOUR,
37,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-631,DOMESTIC,ISB-SKZ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,SUKKUR,SUKKUR AIRPORT,SKZ,2 HOUR 20 MINUTES,
38,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-632,DOMESTIC,SKZ-ISB,PAKISTAN,SUKKUR,SUKKUR AIRPORT,SKZ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOUR 20 MINUTES,
39,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-340,DOMESTIC,KHI-LYP,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,1 HOUR 45 MINUTES,
40,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-341,DOMESTIC,LYP-KHI,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 45 MINUTES,
41,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-503,DOMESTIC,KHI-GWD,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,GWADAR,GWADAR INTERNATIONAL AIRPORT ,GWD,1 HOUR 30 MINUTES,
42,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-504,DOMESTIC,GWD-KHI,PAKISTAN,GWADAR,GWADAR INTERNATIONAL AIRPORT ,GWD,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 30 MINUTES,
43,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-322,DOMESTIC,LHE-UET,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,QUETTA,Quetta International Airport ,UET,1 HOUR 30 MINUTES,
44,PAKISTAN INTERNATIONAL AIRLINE,PIA,PK-323,DOMESTIC,UET-LHE,PAKISTAN,QUETTA,Quetta International Airport ,UET,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOURS 20 MINUTES,
45,AIRSIAL,PF,PF-124,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
46,AIRSIAL,PF,PF-126,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
47,AIRSIAL,PF,PF-123,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS,
48,AIRSIAL,PF,PF-125,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS,
49,AIRSIAL,PF,PF-142,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOUR 45 MINUTES,
50,AIRSIAL,PF,PF-145,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOUR 45 MINUTES,
51,AIRSIAL,PF,PF-171,DOMESTIC,ISB-KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,1 HOURS 10 MINUTES,
52,AIRSIAL,PF,PF-172,DOMESTIC,KDU-ISB,PAKISTAN,SKARDU,SKARDU INTERNATIONAL AIRPORT,KDU,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS 15 MINUTES,
53,AIRSIAL,PF,PF-161,DOMESTIC,KHI-UET,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,QUETTA,Quetta International Airport ,UET,1 HOURS 20 MINUTES,
54,AIRSIAL,PF,PF-162,DOMESTIC,UET-KHI,PAKISTAN,QUETTA,Quetta International Airport ,UET,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 20 MINUTES,
55,AIRSIAL,PF,PF-182,DOMESTIC,PEW-KHI,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 45 MINUTES,
56,AIRSIAL,PF,PF-181,DOMESTIC,KHI-PEW,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,1 HOURS 50 MINUTES,
57,FLYJINNAH,9P,9P-671,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 5 MINUTES,
58,FLYJINNAH,9P,9P-681,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 5 MINUTES,
59,FLYJINNAH,9P,9P-673,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 5 MINUTES,
60,FLYJINNAH,9P,9P-675,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 5 MINUTES,
61,FLYJINNAH,9P,9P-679,DOMESTIC,ISB-KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS 5 MINUTES,
62,FLYJINNAH,9P,9P-670,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS 55 MINUTES,
63,FLYJINNAH,9P,9P-680,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS 55 MINUTES,
64,FLYJINNAH,9P,9P-672,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS 55 MINUTES,
65,FLYJINNAH,9P,9P-678,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS 55 MINUTES,
66,FLYJINNAH,9P,9P-674,DOMESTIC,KHI-ISB,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS 55 MINUTES,
67,FLYJINNAH,9P,9P-841,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
68,FLYJINNAH,9P,9P-849,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
69,FLYJINNAH,9P,9P-843,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
70,FLYJINNAH,9P,9P-847,DOMESTIC,LHE-KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
71,FLYJINNAH,9P,9P-846,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOURS 40 MINUTES,
72,FLYJINNAH,9P,9P-848,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOURS 40 MINUTES,
73,FLYJINNAH,9P,9P-840,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOURS 40 MINUTES,
74,FLYJINNAH,9P,9P-842,DOMESTIC,KHI-LHE,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOURS 40 MINUTES,
75,FLYJINNAH,9P,9P-865,DOMESTIC,PEW-KHI,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
76,FLYJINNAH,9P,9P-865,DOMESTIC,KHI-PEW,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,PESHAWAR,BACHA KHAN INTERNATIONAL AIRPORT,PEW,1 HOURS 55 MINUTES,
77,FLYJINNAH,9P,9P-851,DOMESTIC,KHI-UET,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,QUETTA,Quetta International Airport ,UET,1 HOURS 25 MINUTES,
78,FLYJINNAH,9P,9P-852,DOMESTIC,UET-KHI,PAKISTAN,QUETTA,Quetta International Airport ,UET,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 25 MINUTES,
79,FLYJINNAH,9P,9P-811,DOMESTIC,LYP-KHI,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 45 MINUTES,
80,FLYJINNAH,9P,9P-810,DOMESTIC,KHI-LYP,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP, 1 HOURS 35 MINUTES,
81,FLYJINNAH,9P,9P-820,DOMESTIC,KHI-SKT,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,1 HOURS 45 MINUTES,
82,FLYJINNAH,9P,9P-821,DOMESTIC,SKT-KHI,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,2 HOURS,
83,FLYJINNAH,9P,9P-855,DOMESTIC,UET-LHE,PAKISTAN,QUETTA,Quetta International Airport ,UET,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,1 HOURS 20 MINUTES,
84,FLYJINNAH,9P,9P-856,DOMESTIC,LHE-UET,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,PAKISTAN,QUETTA,Quetta International Airport ,UET,1 HOURS 35 MINUTES,
85,FLYJINNAH,9P,9P-870,DOMESTIC,KHI-MUX,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,1 HOURS 25 MINUTES,
86,FLYJINNAH,9P,9P-871,DOMESTIC,MUX-KHI,PAKISTAN,MULTAN,MULTAN INTERNATIONAL AIRPORT,MUX,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 30 MINUTES,
87,SOUTH AIR,SQB,SQB-942,DOMESTIC,KHI-BHV,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,BAHAWALPUR,BAHAWALPUR AIRPORT,BHV,1 HOURS 50 MINUTES,
88,SOUTH AIR,SQB,SQB-971,DOMESTIC,BHV-KHI,PAKISTAN,BAHAWALPUR,BAHAWALPUR AIRPORT,BHV,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 50 MINUTES,
89,SOUTH AIR,SQB,SQB-909,DOMESTIC,KHI-GWD,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,GWADAR ,GWADAR INTERNATIONAL AIRPORT ,GWD,1 HOURS 30 MINUTES,
90,SOUTH AIR,SQB,SQB-910,DOMESTIC,GWD-KHI,PAKISTAN,GWADAR,GWADAR INTERNATIONAL AIRPORT ,GWD,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 30 MINUTES,
91,SOUTH AIR,SQB,SQB-930,DOMESTIC,KHI-SKZ,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,SUKKUR,SUKKUR AIRPORT,SKZ,1 HOURS 15 MINUTES,
92,SOUTH AIR,SQB,SQB-933,DOMESTIC,SKZ-KHI,PAKISTAN,SUKKUR,SUKKUR AIRPORT,SKZ,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 15 MINUTES,
93,SOUTH AIR,SQB,SQB-911,DOMESTIC,KHI-TUK,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,TURBAT,TURBAT INTERNATIONAL AIRPORT,TUK,1 HOURS 20 MINUTES,
94,SOUTH AIR,SQB,SQB-912,DOMESTIC,TUK-KHI,PAKISTAN,TURBAT,TURBAT INTERNATIONAL AIRPORT,TUK,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 20 MINUTES,
95,SOUTH AIR,SQB,SQB-940,DOMESTIC,KHI-RYK,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,PAKISTAN,RAHIM YAR KHAN,SHAIKH ZAYED INTERNATIONAL AIRPORT,RYK,1 HOURS 25 MINUTES,
96,SOUTH AIR,SQB,SQB-943,DOMESTIC,RYK-KHI,PAKISTAN,RAHIM YAR KHAN,SHAIKH ZAYED INTERNATIONAL AIRPORT,RYK,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,1 HOURS 25 MINUTES,
97,SOUTH AIR,SQB,SQB-922,DOMESTIC,ISB-MUX,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,MULTAN,Multan International Airport,MUX,1 HOURS 45 MINUTES,
98,SOUTH AIR,SQB,SQB-921,DOMESTIC,MUX-ISB,PAKISTAN,MULTAN,Multan International Airport,MUX,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS,
99,SOUTH AIR,SQB,SQB-945,DOMESTIC,ISB-SKZ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,SUKKUR,SUKKUR AIRPORT,SKZ,2 HOURS 15 MINUTES,
100,SOUTH AIR,SQB,SQB-944,DOMESTIC,SKZ-ISB,PAKISTAN,SUKKUR,SUKKUR AIRPORT,SKZ,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS 10 MINUTES,
101,SOUTH AIR,SQB,SQB-970,DOMESTIC,ISB-BHV,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,PAKISTAN,BAHAWALPUR,BAHAWALPUR AIRPORT,BHV,1 HOURS 40 MINUTES,
102,SOUTH AIR,SQB,SQB-942,DOMESTIC,BHV-ISB,PAKISTAN,BAHAWALPUR,BAHAWALPUR AIRPORT,BHV,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,1 HOURS 40 MINUTES,
