SERIAL NO,AIRLINE ,AIRLINE IATA CODE,FLIGHT NO,FLIGHT TYPE,ROUTE,DEPARTURE COUNTRY,DEPARTURE CITY,DEPARTURE AIRPORT,DEPARTURE IATA CODE,ARRIVAL COUNTRY,ARRIVAL CITY,ARRIVAL AIRPORT,ARRIVAL IATA CODE,FLIGHT DURATION,
447,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-756,INTERNATIONAL,RUH-SKT,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,4 HOURS 20 MINUTES,
448,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-243,INTERNATIONAL,SKT-DMM,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,4 HOURS 40 MINUTES,
449,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-244,INTERNATIONAL,DMM-SKT,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,3 HOURS 45 MINUTES,
450,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-763,INTERNATIONAL,LYP-JED,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 50 MINUTES,
451,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-764,INTERNATIONAL,JED-LYP,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,5 HOURS 10 MINUTES,
452,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-717,INTERNATIONAL,LYP-MED,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,SAUDI ARABIA,MEDINAH,PRINCE MUHAMMAD BIN ABDULAZIZ INTERNATIONAL AIRPORT,MED,5 HOURS 30 MINUTES,
453,PAKISTAN INTERNATIONAL AIRLINE,PK,PK-718,INTERNATIONAL,MED-LYP,SAUDI ARABIA,MEDINAH,PRINCE MUHAMMAD BIN ABDULAZIZ INTERNATIONAL AIRPORT,MED,PAKISTAN,FAISALABAD,FAISALABAD INTERNATIONAL AIRPORT,LYP,4 HOURS 55 MINUTES,
454,AIR SIAL,PF,PF-728,INTERNATIONAL,ISB-JED,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 10 MINUTES,
455,AIR SIAL,PF,PF-718,INTERNATIONAL,ISB-JED,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 10 MINUTES,
456,AIR SIAL,PF,PF-719,INTERNATIONAL,JED-ISB,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,5 HOURS 10 MINUTES,
457,AIR SIAL,PF,PF-729,INTERNATIONAL,JED-ISB,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,5 HOURS 10 MINUTES,
458,AIR SIAL,PF,PF-768,INTERNATIONAL,ISB-RUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,5 HOURS 20 MINUTES,
459,AIR SIAL,PF,PF-769,INTERNATIONAL,RUH-ISB,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,4 HOURS 15 MINUTES,
460,AIR SIAL,PF,PF-746,INTERNATIONAL,ISB-DMM,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,4 HOURS 5 MINUTES,
461,AIR SIAL,PF,PF-747,INTERNATIONAL,DMM-ISB,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 25 MINUTES,
462,AIR SIAL,PF,PF-784,INTERNATIONAL,ISB-DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 10 MINUTES,
463,AIR SIAL,PF,PF-785,INTERNATIONAL,DXB-ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 5 MINUTES,
464,AIR SIAL,PF,PF-798,INTERNATIONAL,ISB-AUH,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,3 HOURS 45 MINUTES,
465,AIR SIAL,PF,PF-799,INTERNATIONAL,AUH-ISB,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,3 HOURS 10 MINUTES,
466,AIR SIAL,PF,PF-734,INTERNATIONAL,ISB-MCT,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,OMAN,MUSCAT,MUSCAT INTERNATIONAL AIRPORT,MCT,3 HOURS 10 MINUTES,
467,AIR SIAL,PF,PF-735,INTERNATIONAL,MCT-ISB,OMAN,MUSCAT,MUSCAT INTERNATIONAL AIRPORT,MCT,PAKISTAN,ISLAMABAD,ISLAMABAD INTERNATIONAL AIRPORT,ISB,2 HOURS 40 MINUTES,
468,AIR SIAL,PF,PF-716,INTERNATIONAL,LHE-JED,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,5 HOURS 30 MINUTES,
469,AIR SIAL,PF,PF-717,INTERNATIONAL,JED-LHE,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,5 HOURS 10 MINUTES,
470,AIR SIAL,PF,PF-766,INTERNATIONAL,LHE-RUH,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,4 HOURS 45 MINUTES,
471,AIR SIAL,PF,PF-767,INTERNATIONAL,RUH-LHE,SAUDI ARABIA,RIYADH,KING KHALID INTERNATIONAL AIRPORT,RUH,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,4 HOURS,
472,AIR SIAL,PF,PF-742,INTERNATIONAL,LHE-DMM,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,4 HOURS 10 MINUTES,
473,AIR SIAL,PF,PF-743,INTERNATIONAL,DMM-LHE,SAUDI ARABIA,DAMMAM,KING FAHAD INTERNATIONAL AIRPORT,DMM,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 25 MINUTES,
474,AIR SIAL,PF,PF-786,INTERNATIONAL,LHE-DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,3 HOURS 20 MINUTES,
475,AIR SIAL,PF,PF-787,INTERNATIONAL,DXB-LHE,UNITED ARAB EMIRATES,DUBAI,DUBAI INTERNATIONAL AIRPORT,DXB,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 5 MINUTES,
476,AIR SIAL,PF,PF-796,INTERNATIONAL,LHE-AUH,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,3 HOURS 30 MINUTES,
477,AIR SIAL,PF,PF-797,INTERNATIONAL,AUH-LHE,UNITED ARAB EMIRATES,ABU DHABI,ZAYED INTERNATIONAL AIRPORT,AUH,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,3 HOURS 5 MINUTES,
478,AIR SIAL,PF,PF-732,INTERNATIONAL,LHE-MCT,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,OMAN,MUSCAT,MUSCAT INTERNATIONAL AIRPORT,MCT,3 HOURS 15 MINUTES,
479,AIR SIAL,PF,PF-733,INTERNATIONAL,MCT-LHE,OMAN,MUSCAT,MUSCAT INTERNATIONAL AIRPORT,MCT,PAKISTAN,LAHORE,ALLAMA IQBAL INTERNATIONAL AIRPORT,LHE,2 HOURS 35 MINUTES,
480,AIR SIAL,PF,PF-714,INTERNATIONAL,KHI-JED,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,4 HOURS 10 MINUTES,
481,AIR SIAL,PF,PF-715,INTERNATIONAL,JED-KHI,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,PAKISTAN,KARACHI,JINNAH INTERNATIONAL AIRPORT,KHI,4 HOURS,
482,AIR SIAL,PF,PF-720,INTERNATIONAL,SKT-JED,PAKISTAN,SIALKOT,SIALKOT INTERNATIONAL AIRPORT,SKT,SAUDI ARABIA,JEDDAH,KING ABDUL AZIZ INTERNATIONAL AIRPORT,JED,6 HOURS 10 MINUTES,
